Sequence_category,model,score
human,AB-LSTM,0.4125164747238159
human,AB-LSTM,0.6081639528274536
human,AB-LSTM,0.47985053062438965
human,AB-LSTM,0.5534330010414124
human,AB-LSTM,0.740656316280365
human,AB-LSTM,0.5547881722450256
human,AB-LSTM,0.6234632134437561
human,AB-LSTM,0.7245449423789978
human,AB-LSTM,0.8554641008377075
human,AB-LSTM,0.7322242259979248
human,AB-LSTM,0.5530107617378235
human,AB-LSTM,0.9740118980407715
human,AB-LSTM,0.4669267237186432
human,AB-LSTM,0.5499714016914368
human,AB-LSTM,0.511798083782196
human,AB-LSTM,0.4816998839378357
human,AB-LSTM,0.5688408017158508
human,AB-LSTM,0.6036678552627563
human,AB-LSTM,1.189207911491394
human,AB-LSTM,0.7135124206542969
human,AB-LSTM,1.1775230169296265
human,AB-LSTM,0.6544811725616455
human,AB-LSTM,0.7344449162483215
human,AB-LSTM,0.9227822422981262
human,AB-LSTM,0.6576845645904541
human,AB-LSTM,1.3873591423034668
human,AB-LSTM,1.4110262393951416
human,AB-LSTM,0.4311078190803528
human,AB-LSTM,0.7647960186004639
human,AB-LSTM,0.7431247234344482
human,AB-LSTM,0.7135893702507019
human,AB-LSTM,0.48606085777282715
human,AB-LSTM,0.5821159482002258
human,AB-LSTM,0.5485238432884216
human,AB-LSTM,0.8093298077583313
human,AB-LSTM,0.7122443318367004
human,AB-LSTM,0.5277795195579529
human,AB-LSTM,0.5265382528305054
human,AB-LSTM,0.5502760410308838
human,AB-LSTM,0.8321765065193176
human,AB-LSTM,0.7130353450775146
human,AB-LSTM,0.6753315329551697
human,AB-LSTM,1.1077266931533813
human,AB-LSTM,1.0099520683288574
human,AB-LSTM,0.7126129865646362
human,AB-LSTM,0.5416682362556458
human,AB-LSTM,0.5788301229476929
human,AB-LSTM,0.65839022397995
human,AB-LSTM,1.2158803939819336
human,AB-LSTM,0.8386616110801697
human,AB-LSTM,0.7613171339035034
human,AB-LSTM,1.0696425437927246
human,AB-LSTM,0.9253859519958496
human,AB-LSTM,0.6645839810371399
human,AB-LSTM,1.2555073499679565
human,AB-LSTM,0.908638596534729
human,AB-LSTM,0.5472550988197327
human,AB-LSTM,0.5957222580909729
human,AB-LSTM,1.2467631101608276
human,AB-LSTM,0.9190495610237122
human,AB-LSTM,0.5940191745758057
human,AB-LSTM,0.8987950086593628
human,AB-LSTM,0.9521230459213257
human,AB-LSTM,0.6228695511817932
human,AB-LSTM,0.5557054877281189
human,AB-LSTM,0.7053114175796509
human,AB-LSTM,0.7776899337768555
human,AB-LSTM,0.632951557636261
human,AB-LSTM,0.46615126729011536
human,AB-LSTM,0.9219620227813721
human,AB-LSTM,0.47358468174934387
human,AB-LSTM,1.2080146074295044
human,AB-LSTM,0.500921905040741
human,AB-LSTM,0.454698771238327
human,AB-LSTM,0.8211995363235474
human,AB-LSTM,1.0212156772613525
human,AB-LSTM,0.9237304329872131
human,AB-LSTM,0.5590598583221436
human,AB-LSTM,0.6519162654876709
human,AB-LSTM,0.8866954445838928
human,AB-LSTM,0.5543439388275146
human,AB-LSTM,0.6117671132087708
human,AB-LSTM,0.5884244441986084
human,AB-LSTM,0.6052532196044922
human,AB-LSTM,1.0689260959625244
human,AB-LSTM,0.8277798891067505
human,AB-LSTM,0.5731975436210632
human,AB-LSTM,0.6207069158554077
human,AB-LSTM,0.666938841342926
